Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
344,E'Twaun Moore,SG,24,ORL,79,3,1506,4.7,10.9,0.428,1.4,3.8,0.354,3.3,7.1,0.468,1.2,1.6,0.765,0.7,2.6,3.3,2.7,1.4,0.3,1.3,2.5,11.9
345,Earl Barron,C,26,MIA,46,15,889,5.3,13.2,0.404,0,0.5,0.077,5.3,12.7,0.417,2.5,3.5,0.701,2.7,5.3,8,1.2,0.8,0.3,1.9,4.6,13.2
346,Earl Boykins,PG,31,CHA,36,0,577,3.8,10.7,0.355,0.9,2.7,0.318,2.9,8,0.367,3.1,3.7,0.831,0.6,1.6,2.1,6,0.8,0,2.6,1.3,11.5
347,Earl Clark,PF,26,TOT,54,17,768,4.5,12.2,0.372,1.9,5.7,0.336,2.6,6.5,0.403,1,1.6,0.647,1,5.7,6.7,0.8,0.8,1.2,1.5,3.1,12
348,Earl Watson,PG,34,POR,24,0,161,0.7,2.5,0.273,0.4,1.6,0.286,0.2,0.9,0.25,0.9,0.9,1,1.1,2.2,3.4,6.3,1.1,0.2,3.8,7.4,2.7
349,Earl Watson,PG,28,SEA,78,73,2269,5.4,11.9,0.454,0.8,2.1,0.371,4.6,9.8,0.472,1.8,2.3,0.766,0.7,2.9,3.6,8.4,1.1,0.2,2.8,2.5,13.3
350,Ed Davis,PF,24,MEM,63,4,956,5.8,10.9,0.534,0,0,,5.8,10.9,0.534,1.8,3.4,0.528,3.5,6.3,9.8,1,0.6,1.6,1.5,4.3,13.4
351,Ed Nealy,PF,31,PHO,52,4,505,4.4,8.6,0.512,1.4,3.6,0.4,3,5.1,0.592,1.1,1.7,0.667,1.8,6.1,7.9,2.6,1.1,0.1,1.2,3.2,11.4
352,Ed O'Bannon,SF,24,NJN,45,5,634,4.3,11.8,0.367,1,3.4,0.283,3.4,8.3,0.401,1.1,1.3,0.87,2.3,4,6.4,1.6,1.4,0.6,0.8,4.4,10.7
353,Ed O'Bannon,SF,24,TOT,64,5,809,4.1,12.4,0.333,0.8,3.1,0.257,3.3,9.3,0.359,1.4,1.6,0.886,2.2,4.4,6.6,1.7,1.3,0.5,0.9,4.3,10.5
354,Ed Pinckney,PF,33,MIA,27,0,273,3,5.7,0.535,0,0,,3,5.7,0.535,2.6,3.3,0.8,3.3,5.3,8.6,0.8,1.1,1.2,2.5,4,8.7
355,Ed Pinckney,PF,28,BOS,81,36,1917,3.8,7.1,0.537,0,0,0,3.8,7.1,0.538,3.9,4.8,0.812,4.7,5.9,10.6,1.2,1.3,1.1,1.4,3,11.5
356,Eddie House,PG,22,MIA,50,0,550,6.8,16.2,0.421,1.2,3.6,0.345,5.6,12.6,0.443,1.6,2.3,0.686,0.3,2.4,2.7,3.4,0.9,0,2.3,3.8,16.4
357,Eddie House,PG,29,BOS,78,2,1480,5.3,12.9,0.409,2.8,7.2,0.393,2.4,5.7,0.429,0.8,0.9,0.917,0.5,3.6,4.1,3.7,1.4,0.2,1.8,2.8,14.2
